"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN24LA079","ACC","193595","2023-12-31T16:40:00Z","Davenport","Iowa","United States",,"N773GB","0702","false","Aviation","",,,"None","0","0","0","0",,,,,"41.610278000000001","-90.588361000000006","CIRRUS DESIGN CORP","SR22T","AIR","DVN",,"false","1",,,"PERS","091","Substantial","VMC","JKC LLC","Approach","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193595/pdf"
"ERA24LA084","ACC","193603","2023-12-31T15:13:00Z","Midland","Virginia","United States",,"N37GA","004CE","false","Aviation","DirectorBrief","2024-03-21T04:00:00Z","2024-03-21T17:00:00Z","None","0","0","0","0","0","The pilot’s improper recovery from a bounced landing, which resulted in damage to, and the separation of the nose wheel and fork bracket assembly, and subsequent collapse of the nose landing gear assembly.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Aircraft - Aircraft systems - Landing gear system - Nose/tail landing gear - Capability exceeded",,"38.586284999999997","-77.710631000000006","GOLDEN AVIO S R L","F30 Brio","AIR","HWY","WARRENTON/FAUQUIER","false","1","REC",,"PERS","091","Substantial","VMC",,"Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193603","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193603/pdf"
"ERA24FA078","ACC","193581","2023-12-31T13:13:00Z","Mooresville","North Carolina","United States",,"N539MA","4692139","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"35.624637","-80.912255000000002","PIPER AIRCRAFT INC","PA46R-350T","AIR","14A","LAKE NORMAN AIRPARK","false","1",,,"PERS","091","Substantial","VMC","RTM AVIATION LLC","Unknown","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193581/pdf"
"GAA24WA062","ACC","193593","2023-12-30T19:28:00Z","Dorotea","Other Foreign","Colombia",,"HK1658G",,"false","Aviation","",,,"Fatal","1","1","0","2",,,,,,,"CESSNA","A185","AIR","SKDB",,"false",,,,,"NUSN","Substantial",,,"Unknown","N/A",,"Prelim","","None"
"CEN24LA077","ACC","193585","2023-12-30T16:00:00Z","Washington","Missouri","United States",,"N678MJ","79-30941","false","Aviation","",,,"Serious","0","1","0","1","0",,,,"38.587583000000002","-90.993806000000006","BELLANCA","17-30A","AIR","FYG","Washington Regional","false","1",,"NSCH","PERS","091","Substantial","VMC","PIASA LLC","Initial Climb","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193585/pdf"
"ERA24LA079","ACC","193587","2023-12-30T15:04:00Z","Daytona Beach","Florida","United States",,"N828AK, FA3XNWMRAN","1689, 163DF81001N020","false","Aviation","DirectorBrief","2024-01-25T05:00:00Z",,"None","0","0","0","0","0","The UAS operator’s failure to operate within the limitations of the COA that he was using to operate inside class C airspace, which resulted in a collision between the UAS and the helicopter.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot of other aircraft, Personnel issues - Experience/knowledge - Knowledge - Knowledge of procedures - Pilot of other aircraft",,"29.163164999999999","-81.078239999999994","ROBINSON HELICOPTER, DJI","R44, MAVIC 2","HELI, UNMANNED","DAB","DAYTONA BEACH INTERNATIONAL","false, false","1, 4","REC",,"OWRK, OWRK","091, 107","Substantial, Destroyed","VMC","Tunica Helicopters LLC","Approach","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193587/pdf"
"GAA24WA063","ACC","193607","2023-12-30T12:40:00Z","Buenos Aires","Other Foreign","Argentina",,"LV-GSL",,"false","Aviation","",,,,,,,,,,,,,,"CESSNA","172","AIR","MUS",,"false",,,,,"NUSN","Substantial",,,"Approach","N/A",,"Prelim","","None"
"GAA24WA079","ACC","193719","2023-12-30T08:25:00Z","Diyarbakir","Other Foreign","Turkey",,"TC-LLL",,"false","Aviation","",,,"None","0","0","0","0","0",,,,,,"CESSNA","560","AIR","LTCC",,"false",,,,,"NUSN","Substantial",,,"Landing","N/A",,"Prelim","","None"
"ERA24FA077","ACC","193580","2023-12-29T22:57:00Z","Marienville","Pennsylvania","United States",,"N4209W","7-5204","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"41.453609999999998","-79.069720000000004","ZENITH","STOL CH701","AIR",,,"true","1",,,"PERS","091","Destroyed","Unknown",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193580/pdf"
"CEN24LA081","ACC","193605","2023-12-29T15:27:00Z","Beaumont","Texas","United States",,"N71MS","7452C","false","Aviation","DirectorBrief","2024-02-29T05:00:00Z","2024-02-29T18:00:00Z","None","0","0","0","0",,"The pilot’s failure to maintain directional control during landing in crosswind conditions, which resulted in a ground loop on the runway.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Response/compensation",,"30.070602999999998","-94.215836999999993","MAULE","M-6-235","AIR","BPT","JACK BROOKS RGNL","false","1","REC",,"AOBV","091","Substantial","VMC","TAF AERIAL SERVICES LLC","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193605","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193605/pdf"
