"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"DCA19CA066","ACC","98874","2018-12-31T13:40:00Z","Charlotte","North Carolina","United States",,"N938UW","27246","false","Aviation","DirectorBrief","2020-04-22T04:00:00Z","2020-04-29T07:01:00Z","None","0","0","0",,"0","an inadvertent loss of airspeed and increased pitch attitude prior to touchdown.","Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Flight crew, Personnel issues - Action/decision - Action - Incorrect action performance - Copilot",,"35.213611","-80.948890000000006","Boeing","757","AIR","KCLT","Charlotte Douglas","false","2","TF","SCHD",,"121","Substantial","IMC","American Airlines","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=98874","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/98874/pdf"
"ERA19LA081","ACC","98858","2018-12-30T21:25:00Z","Apopka","Florida","United States",,"N78JE","411030","false","Aviation","DirectorBrief","2020-09-14T04:00:00Z","2020-06-26T16:47:00Z","None","0","0","0","0","0","A partial loss of engine power during a go-around for reasons that could not be determined based on the available information, which resulted in a forced landing.","Not determined - Not determined - (general) - (general) - Unknown/Not determined, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Attain/maintain not possible, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Contributed to outcome",,"28.702777000000001","-81.586669000000001","CESSNA","LC41","AIR","X04","Apopka Airport","false",,"REC",,"PERS","091","Substantial","VMC","Hardwood Transport Llc","Approach","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=98858","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/98858/pdf"
"CEN19LA051","ACC","98810","2018-12-30T20:48:00Z","Beaver Island","Michigan","United States",,"N2146P","23-748","false","Aviation","DirectorBrief","2020-04-20T04:00:00Z","2020-01-17T22:01:00Z","Fatal","1","0","0","1","0","The pilot's failure to maintain a positive rate of climb after takeoff which resulted in an impact with trees and terrain.  Contributing to the accident was the pilot's inability to see a visible horizon due to the dark night lighting conditions and limited ground lights in the vicinity of the airport.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Climb rate - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - (general) - Pilot, Environmental issues - Conditions/weather/phenomena - Light condition - Dark - Effect on personnel",,"45.684722000000001","-85.574447000000006","Piper","PA 23","AIR","SJX","Beaver Island","false","2","REC",,"PERS","091","Destroyed","VMC",,"Initial Climb","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=98810","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/98810/pdf"
"GAA19CA106","ACC","98899","2018-12-30T17:20:00Z","Caldwell","New Jersey","United States",,"N2651R","17280542","false","Aviation","DirectorBrief","2019-09-26T04:00:00Z","2019-04-02T13:56:00Z","None","0","0","0","0","0","The student pilot's failure to maintain directional control during the takeoff roll.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Student/instructed pilot, Environmental issues - Physical environment - Terrain - Sloped/uneven terrain - Contributed to outcome",,"40.875556000000003","-74.278334999999998","Cessna","172","AIR","CDW","ESSEX COUNTY","false","1","REC",,"INST","091","Substantial","VMC","Air Fleet Training Systems Inc.","Takeoff","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=98899","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/98899/pdf"
"WPR19LA060","ACC","98831","2018-12-30T16:53:00Z","San Diego","California","United States",,"N4161X","46-36240","false","Aviation","DirectorBrief","2022-04-01T04:00:00Z","2022-03-17T11:00:00Z","None","0","0","0","0","0","Loss of directional control during the landing roll for reasons that could not be determined based on the available information.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Attain/maintain not possible, Not determined - Not determined - (general) - (general) - Unknown/Not determined",,"32.815834000000002","-117.139442","Piper","PA46","AIR","KMYF","Montgomer-Gibbs Executive Airp","false","1","REC",,"PERS","091","Substantial","VMC",,"Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=98831","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/98831/pdf"
"ANC19WA013","ACC","98978","2018-12-30T03:30:00Z","Ulan-Ude",,"Russia",,"RA-01908",,"false","Aviation","",,,"Fatal","4","0","0","4","0",,,,,,"AGUSTA","A119","UNK",,,"false",,,,,"UNK","Destroyed",,,"Unknown","N/A",,,"","None"
"GAA19CA111","ACC","98823","2018-12-29T15:36:00Z","Bend","Oregon","United States",,"N7757C","30389","false","Aviation","DirectorBrief","2019-09-26T04:00:00Z","2019-03-12T12:00:00Z","Minor","0","0","1","1","0","The pilot's failure to maintain directional control in gusting crosswind conditions.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation, Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Effect on operation",,"44.094444000000003","-121.20027899999999","Cessna","180","AIR","BDN","Bend Muni","false","1","REC",,"PERS","091","Substantial","VMC",,"Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=98823","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/98823/pdf"
"CEN19LA050","ACC","98809","2018-12-29T11:23:00Z","Chesaning","Michigan","United States",,"N1095V","R1722117","false","Aviation","DirectorBrief","2020-06-29T04:00:00Z","2020-03-31T11:37:00Z","Fatal","1","0","0","1","0","The pilot's loss of airplane control for reasons that could not be determined based on the available information.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Physical environment - Object/animal/substance - Residence/building - Contributed to outcome",,"43.166941999999999","-84.133330999999998","Cessna","R172K","AIR",,,"false","1","REC",,"PERS","091","Destroyed","VMC",,"Approach","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=98809","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/98809/pdf"
"CEN19LA064","ACC","98882","2018-12-28T21:15:00Z","Horseshoe Bay","Texas","United States",,"N6202M","15284638","false","Aviation","DirectorBrief","2020-04-13T04:00:00Z","2019-03-07T21:46:00Z","Minor","0","0","2","2","0","The pilot's inadequate preflight and in-flight fuel planning, which resulted in the total loss of engine power due to fuel exhaustion.","Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Effect on operation",,"30.532776999999999","-98.323607999999993","Cessna","152","AIR",,,"false","1","REC",,"PERS","091","Substantial","VMC",,"Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=98882","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/98882/pdf"
"WPR19CA052","ACC","98822","2018-12-28T11:45:00Z","Hayward","California","United States",,"N8319T","2488","false","Aviation","DirectorBrief","2019-09-26T04:00:00Z","2019-03-05T16:52:00Z","None","0","0","0","0","0","An in-flight collision with a bird during low-altitude maneuvering, which resulted in a hard landing.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on operation, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Ability to respond/compensate",,"37.663887000000003","-122.128051","Robinson","R22","HELI","KHWD","Hayward Executive","false","1","REC",,"INST","091","Substantial","VMC",,"Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=98822","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/98822/pdf"
