
UNIQUE_CARRIER,Description,Sum(DEPARTURES_PERFORMED)
"04Q","Tradewind Aviation",5979
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",3290
"0BQ","DCA",12
"0CQ","ACM AIR CHARTER GmbH",27
"0Q","Flying Service N.V.",8
"0QQ","TAG Aviation (UK) Ltd.",2
"0RQ","TAG Aviation Espana S.L.",21
"0WQ","Avjet Corporation",1812
"13Q","Chartright Air Inc.",200
"14Q","London Air Services Limited",137
"15Q","Air Alsie A/S",38
"17Q","Albinati Aeronautics SA",6
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",127
"1EQ","KaiserAir, Inc.",279
"1HQ","International Jet Management GmbH",1
"1LQ","Bertelsmann Aviation GmbH",3
"1PQ","Makani Kai Air Charters",3168
"1QQ","City Wings Inc dba Seaflight",3978
"1TQ","Rhoades Aviation dba Transair",2864
"1UQ","Gainjet Aviation SA",44
"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle",3105
"1XQ","Dassault Falcon Service",8
"1YQ","Air Charter, Inc d/b/a Air Flamenco",12714
"20Q","Orange Air",5
"22Q","Gem Air LLC",191
"23Q","Songbird Airways Inc.",50
"24Q","Jet Story",12
"26Q","Albinati aviation Limited",7
"27Q","Jet Aviation Flight Services, Inc.",841
"28Q","Menagerie Enterprises Inc d/b/a Monarch Air",2308
"29Q","Erickson Helicopters",358
"2AQ","ABS JETS A.S",3
"2E","Smokey Bay Air Inc.",12229
"2F","Frontier Flying Service",444
"2GQ","Cavok Air LLC",11
"2HQ","Elite Airways LLC",1002
"2JQ","Delux Public Charter LLC",1931
"2KQ","Longtail Aviation Ltd.",9
"2O","Island Air Service",9769
"2TQ","Trans Northern Airways d/b/a Air Unlimited Charter Services",88
"2UQ","Svenskt Industriflyg AB",1
"3E","Multi-Aero, Inc. d/b/a Air Choice One",17073
"3F","Pacific Airways, Inc.",8169
"3M","Silver Airways",28698
"3S","AeroLogic GmbH",96
"4B","Boutique Air",25430
"4C","Aerovias de Intergracian Regional",1
"4W","Warbelow",11266
"4Y (1)","Yute Air Aka Flight Alaska",38722
"5D","Aerolitoral",9
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",6549
"5X","United Parcel Service",106916
"5Y","Atlas Air Inc.",8798
"7H","NEW PACIFIC AIRLINES",25699
"7S","Ryan Air f/k/a Arctic Transportation",14517
"8C","Air Transport International",6898
"8D","Dynamic Aviation, Inc. d/b/a Beacon",320
"8E","Bering Air Inc.",30683
"8V","Wright Air Service",15035
"9E","Endeavor Air Inc.",194596
