
UNIQUE_CARRIER,Description,Sum(DEPARTURES_PERFORMED)
"02Q","Titan Airways",1
"04Q","Tradewind Aviation",5222
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",16673
"0BQ","DCA",8
"0CQ","ACM AIR CHARTER GmbH",47
"0Q","Flying Service N.V.",3
"0UQ","Comlux Malta, Ltd.",6
"10Q","Swiss Air Ambulance",1
"13Q","Chartright Air Inc.",385
"14Q","London Air Services Limited",92
"15Q","Air Alsie A/S",39
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",43
"1EQ","KaiserAir, Inc.",280
"1HQ","International Jet Management GmbH",7
"1QQ","City Wings Inc dba Seaflight",1692
"1TQ","Rhoades Aviation dba Transair",3367
"1UQ","Gainjet Aviation SA",48
"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle",1704
"1YQ","Air Charter, Inc d/b/a Air Flamenco",6546
"1ZQ","Comlux Aruba NV",18
"22Q","Gem Air LLC",158
"24Q","Jet Story",8
"25Q","Mjet GmbH",1
"27Q","Jet Aviation Flight Services, Inc.",2189
"2AQ","ABS JETS A.S",3
"2E","Smokey Bay Air Inc.",8113
"2GQ","Cavok Air LLC",116
"2HQ","Elite Airways LLC",1005
"2JQ","Delux Public Charter LLC",19989
"2KQ","Longtail Aviation Ltd.",73
"2LQ","Tropic Ocean Airways LLC",968
"2O","Island Air Service",12846
"2UQ","Svenskt Industriflyg AB",2
"30Q","Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky",12
"34Q","Polaris Aviation Solutions, LLC",3
"36Q","Air Hamburg Luftverkehrsgesellschaft mbH",25
"3AQ","Maritime Helicopters, Inc.",3314
"3E","Multi-Aero, Inc. d/b/a Air Choice One",5668
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air",1913
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge",10599
"3KQ","Junipogo, LLC",87
"3M","Silver Airways",12581
"3S","AeroLogic GmbH",166
"4B","Boutique Air",22652
"4W","Warbelow",5024
"5D","Aerolitoral",1
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",9124
"5X","United Parcel Service",161146
"5Y","Atlas Air Inc.",22765
"7H","NEW PACIFIC AIRLINES",11876
"7S","Ryan Air f/k/a Arctic Transportation",25730
"8C","Air Transport International",25986
"8E","Bering Air Inc.",38397
"8V","Wright Air Service",22368
"9E","Endeavor Air Inc.",266436
"9K","Hyannis Air Service, Inc. dba Cape Air",94073
"9S","Southern Air Inc.",7434
"9X","Southern Airways Express, dba Mokulele Airlines",62418
"AA","American Airlines Inc.",722393
"ABX","ABX Air Inc",12024
"AC","Air Canada",178
"AD","Azul Linhas Aereas Brazileiras S A",3
"ADB","Antonov Company",50
"AF","Compagnie Natl Air France",8
"AM","Aeromexico",15
"AMQ","Ameristar Air Cargo",821
"AN","ADVANCED AIR, LLC",7125
"AOQ","Avcon Jet AG",12
"AS","Alaska Airlines Inc.",194140
"AZ","Italia Transporto Aereo S.P.A DBA ITA S.P.A",1
"B6","JetBlue Airways",200727
"BA","British Airways Plc",2
"BAS","Baranautica Air Service LLC",135
"BR","Eva Airways Corporation",656
"C5","CommuteAir LLC dba CommuteAir",75106
"CA","Air China",388
"CC","Air Atlanta Icelandic",87
"CH","Bemidji Airlines",431
"CI","China Airlines Ltd.",3704
"CK","China Cargo Airline",624
"CX","Cathay Pacific Airways Ltd.",3555
"DE","Condor Flugdienst",1
"DL","Delta Air Lines Inc.",752775
"EB","WAMOS AIR SA",4
"ELL","Ellis Air Taxi Inc.",380
"EM","Empire Airlines Inc.",19522
"EV","ExpressJet Airlines LLC d/b/a aha!",404
"EY","Etihad Airways",2
"F9","Frontier Airlines Inc.",135367
"FX","Federal Express Corporation",281821
"G3","VRG Linhas Aereas S A",2
"G4","Allegiant Air",112977
